,Unnamed: 0,cast_id,character,credit_id,gender,id,name,order,profile_path,movies,appearance,budget_array
0,0,14,Woody (voice),52fe4284c3a36847f8024f95,2,31,Tom Hanks,0,/pQFoyx7rp09CJTAb932F2g8Nlho.jpg,"[862, 568, 13, 9800, 858, 32562, 9591, 857, 11974, 2619, 10466, 29968, 9489, 2280, 56235, 863, 9586, 497, 11287, 19259, 12309, 40820, 8358, 6951, 65262, 2565, 4147, 640, 20763, 10023, 5516, 594, 10905, 5255, 30983, 591, 920, 13508, 35, 6538, 16279, 13448, 5707, 10193, 15302, 59861, 64685, 208988, 208988, 83542, 32694, 109424, 213121, 140823, 170039, 77887, 82424, 37641, 130925, 256835, 253639, 339988, 296098, 356325, 357125, 270010, 87061, 363676, 207932, 140465, 305642, 331214]",72,"[30000000, 52000000, 55000000, 26000000, 21000000, 0, 0, 70000000, 18000000, 8000000, 10000000, 0, 65000000, 18000000, 1000000, 90000000, 47000000, 60000000, 40000000, 0, 6000000, 15000000, 90000000, 0, 0, 0, 80000000, 52000000, 35000000, 20000000, 0, 60000000, 0, 165000000, 0, 125000000, 120000000, 1000000, 75000000, 75000000, 0, 150000000, 0, 200000000, 0, 30000000, 40000000, 0, 0, 102000000, 0, 55000000, 0, 35000000, 2000000, 0, 0, 11500000, 0, 0, 0, 18000000, 40000000, 0, 0, 30000000, 0, 60000000, 75000000, 0, 5000000, 125000000]"
1,1,15,Buzz Lightyear (voice),52fe4284c3a36847f8024f99,2,12898,Tim Allen,1,/uX2xVf6pMmPepxnvFWyBtjexzgY.jpg,"[862, 11395, 9446, 10371, 863, 926, 2185, 12312, 33152, 9021, 13673, 10067, 920, 14113, 13767, 11199, 12400, 10193, 35458, 15302, 72334, 41156, 213121, 77887, 82424, 130925, 256835, 29919, 190967]",29,"[30000000, 22000000, 0, 35000000, 90000000, 45000000, 40000000, 38000000, 0, 65000000, 60000000, 50000000, 120000000, 35000000, 12000000, 0, 7000000, 200000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,2,16,Mr. Potato Head (voice),52fe4284c3a36847f8024f9d,2,7167,Don Rickles,2,/h5BcaDMPRVLHLDzbQavec4xfSdt.jpg,"[862, 524, 18937, 14577, 18784, 863, 11589, 39113, 53617, 26483, 32569, 27381, 15258, 81700, 26765, 10193, 41397, 324173, 85984, 213121, 121636, 77887, 82424, 215538, 130925, 256835, 27376, 42693, 334461]",29,"[30000000, 52000000, 40000000, 0, 0, 90000000, 4000000, 0, 0, 0, 0, 0, 0, 0, 0, 200000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,3,17,Slinky Dog (voice),52fe4284c3a36847f8024fa1,2,12899,Jim Varney,3,/eIo2jVVXYgjDtaHoF19Ll9vtW7h.jpg,"[862, 11041, 32302, 863, 18935, 10865, 26386, 18943, 32685, 34600, 39128, 55950, 33557, 34300, 20551, 69061, 39129, 53061, 71847, 29083]",20,"[30000000, 0, 0, 90000000, 3000000, 120000000, 6000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,4,18,Rex (voice),52fe4284c3a36847f8024fa5,2,12900,Wallace Shawn,4,/oGE6JqPP2xH4tNORKNqxbNPYi7u.jpg,"[862, 9603, 1775, 15789, 32636, 23333, 19042, 18862, 2493, 696, 11419, 61337, 23954, 5971, 9849, 30890, 39074, 16858, 863, 27857, 19200, 60276, 47045, 11308, 2779, 585, 55792, 41971, 25468, 32625, 40775, 7288, 10756, 24034, 42094, 163869, 9806, 20545, 47892, 40929, 9688, 9982, 27295, 5393, 4723, 8359, 22074, 10193, 39691, 60164, 121879, 73935, 37348, 144340, 146015, 213121, 77887, 82424, 87235, 130925, 256835, 268536, 9973, 41625, 71357, 299588, 260672, 12903, 60293, 36550, 55325, 312669, 332212, 44015, 461297]",75,"[30000000, 12000000, 11000000, 0, 0, 0, 0, 0, 16000000, 0, 25000000, 0, 7200000, 20000000, 65000000, 16000000, 0, 0, 90000000, 0, 14000000, 0, 0, 7500000, 0, 115000000, 0, 0, 0, 0, 0, 40000000, 90000000, 10000000, 0, 0, 92000000, 0, 0, 0, 0, 150000000, 0, 47000000, 17000000, 0, 20000000, 200000000, 85000000, 2000000, 0, 16000000, 0, 13000000, 0, 0, 0, 0, 0, 0, 0, 0, 9000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,5,19,Hamm (voice),52fe4284c3a36847f8024fa9,2,7907,John Ratzenberger,5,/yGechiKWL6TJDfVE2KPSJYqdMsY.jpg,"[862, 1891, 783, 37530, 9487, 1924, 8536, 863, 26578, 10540, 585, 30924, 25566, 10724, 12, 5902, 9806, 21666, 920, 2062, 10681, 14160, 10193, 75938, 49013, 62177, 62211, 42950, 218836, 77887, 82424, 130925, 71456, 149910, 94563, 27873, 82430, 49497, 150540, 105864, 319924, 108228, 30117, 127380, 227552, 260514]",46,"[30000000, 18000000, 22000000, 0, 120000000, 55000000, 54000000, 90000000, 0, 16000000, 115000000, 3000000, 0, 18000000, 94000000, 22000000, 92000000, 0, 120000000, 150000000, 180000000, 175000000, 200000000, 0, 200000000, 185000000, 200000000, 0, 50000000, 0, 0, 0, 0, 0, 3000000, 1000000, 0, 0, 175000000, 175000000, 0, 0, 0, 200000000, 0, 175000000]"
6,6,20,Bo Peep (voice),52fe4284c3a36847f8024fad,1,8873,Annie Potts,6,/eryXT84RL41jHSJcMy4kS3u9y6w.jpg,"[862, 11522, 620, 2978, 863, 11718, 40814, 82545, 27201, 42273, 37641, 73198, 20863, 43074, 77261]",15,"[30000000, 0, 30000000, 37000000, 90000000, 0, 0, 0, 0, 0, 11500000, 0, 0, 144000000, 0]"
8,8,22,Sid (voice),52fe4284c3a36847f8024fb1,2,12901,Erik von Detten,8,/twnF1ZaJ1FUNUuo6xLXwcxjayBE.jpg,"[862, 37244, 9880, 45824, 15276, 36278, 10193, 239498, 61550, 239033, 15043]",11,"[30000000, 0, 37000000, 0, 0, 6000000, 200000000, 0, 0, 0, 0]"
9,9,23,Mrs. Davis (voice),52fe4284c3a36847f8024fb5,1,12133,Laurie Metcalf,9,/unMMIT60eoBM2sN2nyR7EZ2BvvD.jpg,"[862, 451, 26203, 38554, 10155, 4233, 9452, 129628, 8130, 4806, 863, 2990, 820, 2616, 9016, 11060, 116008, 1267, 13159, 8988, 108021, 71825, 10193, 26622, 47057]",25,"[30000000, 3600000, 0, 0, 19000000, 24000000, 30000000, 0, 5000000, 70000000, 90000000, 0, 40000000, 15000000, 140000000, 0, 0, 150000000, 20000000, 25000000, 0, 0, 200000000, 0, 0]"
10,10,24,Sergeant (voice),52fe4284c3a36847f8024fb9,2,8655,R. Lee Ermey,10,/r8GBqFBjypLUP9VVqDqfZ7wYbSs.jpg,"[862, 687, 807, 4722, 10779, 28, 600, 26306, 10871, 14628, 1049, 863, 41282, 10878, 1632, 30379, 11468, 10750, 10929, 31094, 9373, 9624, 14923, 13498, 10781, 27521, 75686, 10193, 80035, 70115, 52314, 33545, 51768, 115373, 119353, 45302, 28450, 74942, 315467]",39,"[30000000, 11000000, 33000000, 13000000, 30000000, 31500000, 17000000, 8000000, 37000000, 8045760, 0, 90000000, 0, 22000000, 15000000, 0, 18000000, 0, 22000000, 0, 9500000, 50000000, 0, 40000000, 16000000, 0, 0, 200000000, 68000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
