,name,num
931,jealousy,194.0
4290,toy,19.0
5202,boy,66.0
6054,friendship,410.0
9713,friends,167.0
9823,rivalry,87.0
165503,boy next door,3.0
170722,new toy,2.0
187065,toy comes to life,17.0
10090,board game,8.0
10941,disappearance,66.0
15101,based on children's book,31.0
33467,new home,10.0
158086,recluse,8.0
158091,giant insect,15.0
1495,fishing,23.0
12392,best friend,134.0
179431,duringcreditsstinger,439.0
208510,old men,2.0
818,based on novel,804.0
10131,interracial relationship,30.0
14768,single mother,61.0
15160,divorce,133.0
33455,chick flick,2.0
1009,baby,107.0
1599,midlife crisis,38.0
2246,confidence,18.0
4995,aging,29.0
5600,daughter,180.0
10707,mother daughter relationship,133.0
13149,pregnancy,140.0
33358,contraception,3.0
170521,gynecologist,7.0
642,robbery,220.0
703,detective,229.0
974,bank,66.0
1523,obsession,137.0
3713,chase,114.0
7281,shooting,35.0
9727,thief,94.0
9812,honor,18.0
9826,murder,1279.0
9937,suspense,588.0
10051,heist,97.0
10085,betrayal,103.0
10594,money,178.0
10726,gang,146.0
15076,cat and mouse,9.0
18023,criminal mastermind,11.0
34117,cult film,106.0
156121,ex-con,39.0
159343,heist movie,12.0
159434,one last job,3.0
167104,loner,12.0
192261,bank job,2.0
207268,neo-noir,96.0
208009,gun fight,7.0
214983,crime epic,2.0
90,paris,265.0
380,brother brother relationship,170.0
2072,chauffeur,20.0
9398,long island,8.0
9492,fusion,1.0
33626,millionaire,63.0
949,terrorist,100.0
1562,hostage,116.0
1653,explosive,17.0
193533,vice president,3.0
701,cuba,31.0
769,falsely accused,31.0
1308,secret identity,59.0
2812,computer virus,14.0
3268,secret base,6.0
3272,secret intelligence service,13.0
3278,kgb,25.0
3376,satellite,10.0
3531,special car,4.0
3560,cossack,5.0
3561,electromagnetic pulse,2.0
3562,time bomb,6.0
3563,st. petersburg russia,8.0
3564,ejection seat,2.0
193008,red army,4.0
833,white house,21.0
840,usa president,65.0
1605,new love,110.0
33476,widower,32.0
211505,wildlife conservation,2.0
3633,dracula,49.0
11931,spoof,98.0
1994,wolf,32.0
6411,dog-sledding race,1.0
9880,alaska,28.0
15162,dog,215.0
15169,goose,2.0
158175,bear attack,6.0
158370,dog sled,2.0
158371,frozen lake,1.0
2946,presidential election,14.0
4240,watergate scandal,6.0
5565,biography,606.0
6086,government,58.0
6165,historical figure,89.0
911,exotic island,32.0
1454,treasure,57.0
1969,map,17.0
3799,ship,93.0
5470,scalp,3.0
12988,pirate,68.0
383,poker,39.0
726,drug abuse,35.0
1228,1970s,115.0
2635,overdose,20.0
33625,illegal prostitution,44.0
420,bowling,9.0
964,servant,24.0
2755,country life,17.0
7564,jane austen,10.0
10911,inheritance,50.0
11109,military officer,14.0
15060,period drama,33.0
156507,rainstorm,6.0
156510,horse and carriage,3.0
156512,decorum,1.0
612,hotel,150.0
613,new year's eve,29.0
616,witch,141.0
622,bet,20.0
922,hotel room,35.0
2700,sperm,5.0
12670,los angeles,221.0
160488,hoodlum,67.0
187056,woman director,2894.0
198129,episode film,7.0
409,africa,106.0
1551,indigenous,9.0
2526,human animal relationship,25.0
5155,bat,14.0
1552,subway,39.0
14512,new york city,181.0
155735,new york subway,5.0
156120,train robbery,14.0
395,gambling,98.0
416,miami,27.0
8438,job,25.0
9935,travel,65.0
10391,mafia,118.0
11061,debt,50.0
11578,mobster,57.0
12094,business,33.0
12396,hollywood,100.0
13142,gangster,235.0
14536,crime,113.0
14819,violence,650.0
14964,drug,351.0
33879,producer,10.0
159608,con,10.0
796,police brutality,36.0
2800,psychology,36.0
4668,police operation,31.0
5430,police protection,9.0
10714,serial killer,289.0
11268,psychologist,39.0
13001,cowardliness,36.0
271,competition,110.0
441,assassination,90.0
591,cia,106.0
977,cat,102.0
1666,mexican standoff,19.0
2350,seattle,19.0
2708,hitman,141.0
3045,mission of murder,29.0
3979,hidden camera,17.0
10084,rescue,128.0
10950,shootout,115.0
11148,police chase,20.0
12355,sniper rifle,10.0
18107,silencer,12.0
33456,double cross,26.0
167861,caribbean,17.0
178929,detroit michigan,5.0
7345,dead animal,5.0
11325,shot to death,13.0
18068,teenage boy,29.0
18320,held at gunpoint,7.0
41355,teacher student relationship,14.0
163531,albino,8.0
163533,fainting,3.0
163534,jacobs ladder,1.0
163540,christ allegory,3.0
163543,psionic power,2.0
163545,healing power,3.0
163552,looking pale,1.0
163553,flickering light,1.0
163558,extrasensory perception,3.0
30,individual,39.0
549,prostitute,230.0
567,alcohol,114.0
585,casino,62.0
699,love at first sight,31.0
725,lovesickness,48.0
887,film producer,21.0
888,screenwriter,23.0
3737,dying and death,149.0
3927,rage and hate,21.0
6059,unsociability,36.0
7464,alcoholism,72.0
15237,alcohol abuse,17.0
155793,attempted suicide,7.0
497,shakespeare,52.0
17982,moor,4.0
5248,female friendship,53.0
10683,coming of age,172.0
170533,photocopier,1.0
170539,truth or dare,1.0
1316,captain,31.0
33384,napoleonic wars,8.0
33386,old flame,9.0
33388,admiral,5.0
402,clone,21.0
1566,dream,142.0
2041,island,185.0
4484,eye,7.0
4565,dystopia,272.0
10103,children,128.0
14659,girl,45.0
157955,childhood,30.0
2311,cabaret,12.0
2682,shanghai,20.0
2992,diva,12.0
6464,uncle,40.0
11869,mistress,24.0
41277,umbrella,5.0
897,rap music,26.0
3436,karate,28.0
6270,high school,315.0
6610,naval officer,8.0
10508,teacher,209.0
155582,amusement park,39.0
222,schizophrenia,31.0
276,philadelphia,12.0
277,cassandra syndrom,1.0
278,stockholm syndrome,5.0
4379,time travel,147.0
4458,post-apocalyptic,154.0
14675,lethal virus,14.0
15149,monkey,36.0
162801,subterranean,6.0
3020,sheep,19.0
4931,pig,30.0
5608,affection,16.0
8082,piglet,4.0
11115,heroism,5.0
11477,talking animal,35.0
18013,separation,7.0
33671,german shepherd,13.0
158019,grandson,1.0
206052,talking pig,4.0
392,england,154.0
437,painter,43.0
8997,conscientious objector,6.0
10183,independent film,1893.0
13065,soldier,146.0
378,prison,343.0
570,rape,305.0
1952,socially deprived family,19.0
2060,penalty,9.0
2122,death penalty,27.0
2300,despair,18.0
2501,death row,12.0
2538,begnadigung,2.0
2726,therapist,34.0
